Прогон через двух агентов, европа и рф.
                            public_key                            |                     address                      |  rating   | valid_cnt | total_cnt | availability_percent 
 516a32d046c4a2187088143edf278a6be1a119dc691bb7bd21dd81ed26a26a34 | EQAEG-63fMkmNJ0s-w5ZlHlLwtNuJfF1zG_0Yr-tiCTuyCZv | 17.573846 |       361 |       365 |                98.90
 7f41f5e1ca22563d01cc9106d8ed14c76ae643aeac9a51f889d1301577556b63 | EQAdanpgtJl6UE8XjL6i_67QITE8wWvhSMg31muGSXyeXUtt | 17.571842 |       297 |       330 |                90.00
 6f6053b4435ffd17bb1368d85ac3573b6fee2d62bb12629f1ddd36cbd7eb692d | EQAGozDJFCa2rE1tMWXCHBXXy9sQLR8RmSyB_nj2qtq8y4ls | 17.507573 |         0 |       283 |                 0.00
 dea2766730486d71173a37ae36a816e7b1bbbc58e40567801a4a0b3bc3e2ff0c | EQCM9DbjYI14wzImRjY5gsrl6UcDfKdk7nnbJfJGRcAIl6hY | 16.946837 |        95 |        98 |                96.94
 30f167a33cdbb78ef5997b7134be8f7d0469742244dc0c6ff4ab70214e886d48 | EQDq95zEi68_QBRVR-WguwBSTdoTPrrnEqTStpBqIRCFe7zv | 16.895084 |       204 |       206 |                99.03
 5613a2bd3c9b6c6764afc96e0d3bb8734a9519d4bbbc569869400ec98427e922 | EQCD35RZlIiByq2QBw9_M8jmu2wDAApO4PBIm1bHmXlicBNx | 15.779570 |       349 |       350 |                99.71
 f854036e9689595d22a2c2ee4f766bcfafb72b29125c47fc925f51ee1e03a00a | EQCrnhxPVMeN3aSLOCMD1T5e6yzWgB3-qU2FtQlwkktG1cgL | 14.726336 |       108 |       116 |                93.10
 95b42da4168733cbed792d2baf3c40facb6ebc432b04d402dc764110cbf9d6fb | EQCD_dfhloEW4nl9YFn6rN4v3Mrvtai2hoL8U89cWWt5h7X_ | 14.633119 |        74 |        75 |                98.67
 94059ff6f0e534b571797a41d2203c500b305e924333ff2264ae20ca0976f9f7 | EQC2eTZ8uxfIsKxtYIRhzAOXw_DMHeSiuTuDMoYQmN8w29gv | 14.615121 |       193 |       195 |                98.97
 3a65231e59031a3a0c6f363030712730b11562a3c77556184c05d58adeb6b466 | EQAjRhPNqC9mY2muFNsYwYI5eqb-lsq-sD5xk3SLfrDljMwB | 14.613961 |       253 |       263 |                96.20
